team_1,team_2,cup_match,late_stage,weeks_ago,result
RSA,ITA,0,0,1058,won
AUS,IRE,0,0,1058,won
SAM,FRA,0,0,1058,lost
TON,FRA,0,0,1057,won
NZL,SAM,0,0,1057,won
RSA,ITA,0,0,1057,won
AUS,IRE,0,0,1057,won
AUS,ENG,0,0,1056,won
NZL,FRA,0,0,1056,won
WAL,RSA,0,0,1056,won
NZL,RSA,0,0,1054,won
AUS,RSA,0,0,1053,won
NZL,AUS,0,0,1052,won
RSA,NZL,0,0,1050,lost
RSA,AUS,0,0,1049,won
SCO,ARG,0,0,1048,lost
WAL,CAN,0,0,1048,won
ENG,USA,0,0,1048,won
IRE,ARG,0,0,1047,won
SCO,ROM,0,0,1047,won
WAL,FRA,0,0,1047,won
ENG,CAN,0,0,1047,won
ITA,FIJ,0,0,1047,lost
AUS,NZL,0,0,1047,won
WAL,ARG,1,0,1042,won
FIJ,NAM,1,0,1042,won
IRE,USA,1,0,1042,won
ENG,ITA,1,0,1042,won
FRA,CAN,1,0,1042,won
SPA,URU,1,0,1042,lost
SCO,RSA,1,0,1042,lost
AUS,ROM,1,0,1042,won
NZL,TON,1,0,1042,won
SAM,JPN,1,0,1042,won
SCO,URU,1,0,1041,won
FRA,NAM,1,0,1041,won
WAL,JPN,1,0,1041,won
ENG,NZL,1,0,1041,lost
FIJ,CAN,1,0,1041,won
USA,ROM,1,0,1041,lost
IRE,AUS,1,0,1041,lost
RSA,SPA,1,0,1041,won
ARG,SAM,1,0,1041,won
ITA,TON,1,0,1041,lost
WAL,SAM,1,0,1040,lost
AUS,USA,1,0,1040,won
NZL,ITA,1,0,1040,won
CAN,NAM,1,0,1040,won
IRE,ROM,1,0,1040,won
ENG,TON,1,0,1040,won
RSA,URU,1,0,1040,won
SCO,SPA,1,0,1040,won
FRA,FIJ,1,0,1040,won
ARG,JPN,1,0,1040,won
SCO,SAM,1,0,1039,won
ENG,FIJ,1,0,1039,won
IRE,ARG,1,0,1039,lost
WAL,AUS,1,1,1039,lost
SCO,NZL,1,1,1039,lost
FRA,ARG,1,1,1039,won
ENG,RSA,1,1,1039,lost
AUS,RSA,1,0,1038,won
NZL,FRA,1,0,1038,lost
NZL,RSA,1,0,1037,lost
AUS,FRA,1,1,1037,won
ITA,SCO,0,0,1024,won
WAL,FRA,0,0,1024,lost
ENG,IRE,0,0,1024,won
IRE,SCO,0,0,1022,won
WAL,ITA,0,0,1022,won
FRA,ENG,0,0,1022,lost
IRE,ITA,0,0,1020,won
SCO,FRA,0,0,1020,lost
ENG,WAL,0,0,1020,won
ITA,ENG,0,0,1018,lost
WAL,SCO,0,0,1018,won
FRA,IRE,0,0,1018,lost
IRE,WAL,0,0,1016,lost
FRA,ITA,0,0,1016,won
SCO,ENG,0,0,1016,won
ROM,FRA,0,0,1008,lost
ARG,IRE,0,0,1007,won
RSA,CAN,0,0,1006,won
USA,IRE,0,0,1006,lost
NZL,TON,0,0,1005,won
AUS,ARG,0,0,1005,won
RSA,ENG,0,0,1005,won
CAN,IRE,0,0,1005,lost
AUS,ARG,0,0,1004,won
NZL,SCO,0,0,1004,won
RSA,ENG,0,0,1004,lost
TON,SAM,0,0,1004,won
NZL,SCO,0,0,1003,won
SAM,ITA,0,0,1002,won
AUS,RSA,0,0,1002,won
FIJ,ITA,0,0,1001,won
AUS,NZL,0,0,1001,lost
NZL,RSA,0,0,1000,won
AUS,RSA,0,0,999,won
NZL,AUS,0,0,998,lost
RSA,NZL,0,0,996,won
RSA,AUS,0,0,995,lost
SCO,USA,0,0,985,won
FRA,AUS,0,0,985,lost
FRA,NZL,0,0,984,lost
IRE,JPN,0,0,984,won
SCO,AUS,0,0,984,lost
WAL,SAM,0,0,984,won
ITA,CAN,0,0,984,lost
ARG,RSA,0,0,984,lost
ENG,AUS,0,0,983,won
SCO,SAM,0,0,983,won
WAL,USA,0,0,983,won
FRA,NZL,0,0,983,won
ITA,ROM,0,0,983,won
IRE,RSA,0,0,983,lost
ITA,NZL,0,0,982,lost
ENG,ARG,0,0,982,won
WAL,RSA,0,0,982,lost
ENG,RSA,0,0,981,won
ITA,IRE,0,0,972,lost
WAL,ENG,0,0,972,lost
FRA,SCO,0,0,972,won
IRE,FRA,0,0,970,won
SCO,WAL,0,0,970,lost
ENG,ITA,0,0,970,won
ENG,SCO,0,0,968,won
ITA,FRA,0,0,968,lost
SCO,ITA,0,0,966,won
FRA,WAL,0,0,966,lost
ENG,FRA,0,0,963,won
ITA,WAL,0,0,963,lost
ARG,URU,0,0,957,won
ARG,USA,0,0,956,won
CAN,ENG,0,0,955,lost
ROM,IRE,0,0,955,lost
SAM,TON,0,0,955,won
CAN,ENG,0,0,954,lost
JPN,WAL,0,0,954,lost
RSA,FRA,0,0,953,lost
NZL,SAM,0,0,953,won
USA,ENG,0,0,953,lost
JPN,WAL,0,0,953,lost
RSA,FRA,0,0,952,won
NZL,ARG,0,0,952,won
TON,SAM,0,0,951,lost
NZL,FRA,0,0,951,won
RSA,ITA,0,0,951,won
AUS,LIO,0,0,951,lost
URU,ITA,0,0,950,lost
AUS,LIO,0,0,950,won
ARG,ITA,0,0,949,won
AUS,LIO,0,0,949,won
RSA,NZL,0,0,948,lost
RSA,AUS,0,0,947,won
NZL,AUS,0,0,945,lost
AUS,RSA,0,0,944,lost
NZL,RSA,0,0,943,won
AUS,NZL,0,0,942,won
WAL,ROM,0,0,939,won
SCO,IRE,0,0,939,won
WAL,IRE,0,0,936,lost
IRE,ENG,0,0,935,won
SPA,AUS,0,0,933,lost
ENG,AUS,0,0,932,won
ITA,FIJ,0,0,932,won
SCO,TON,0,0,932,won
WAL,ARG,0,0,932,lost
FRA,RSA,0,0,932,won
IRE,SAM,0,0,932,won
ITA,RSA,0,0,931,lost
IRE,NZL,0,0,931,lost
WAL,TON,0,0,931,won
ENG,ROM,0,0,931,won
FRA,AUS,0,0,931,won
SCO,ARG,0,0,931,lost
SCO,NZL,0,0,930,lost
ENG,RSA,0,0,930,won
FRA,FIJ,0,0,930,won
ITA,SAM,0,0,930,lost
WAL,AUS,0,0,930,lost
ARG,NZL,0,0,929,lost
USA,RSA,0,0,929,lost
SCO,ENG,0,0,920,lost
FRA,ITA,0,0,920,won
IRE,WAL,0,0,920,won
ITA,SCO,0,0,918,lost
WAL,FRA,0,0,918,lost
ENG,IRE,0,0,918,won
IRE,SCO,0,0,916,won
WAL,ITA,0,0,916,won
FRA,ENG,0,0,916,won
IRE,ITA,0,0,913,won
SCO,FRA,0,0,913,lost
ENG,WAL,0,0,913,won
WAL,SCO,0,0,911,lost
FRA,IRE,0,0,911,won
ITA,ENG,0,0,911,lost
NZL,ITA,0,0,902,won
RSA,WAL,0,0,902,won
NZL,IRE,0,0,901,won
ARG,FRA,0,0,901,won
RSA,WAL,0,0,901,won
CAN,SCO,0,0,901,won
